Year ,PopulationType,Population
2011,TotalPopulation,8217475
2012,TotalPopulation,8322248
2013,TotalPopulation,8430984
2014,TotalPopulation,8553075
2015,TotalPopulation,8680397
2016,TotalPopulation,8782386
2017,TotalPopulation,8838025
2018,TotalPopulation,8934621
2019,TotalPopulation,9029053
2020,TotalPopulation,9121351
2021,TotalPopulation,9211391
2022,TotalPopulation,9298979
2023,TotalPopulation,9384394
2024,TotalPopulation,9467487
2025,TotalPopulation,9548200
2026,TotalPopulation,9626818
2027,TotalPopulation,9703526
2028,TotalPopulation,9778660
2029,TotalPopulation,9852409
2030,TotalPopulation,9924970
2031,TotalPopulation,9996499
2032,TotalPopulation,10067341
2033,TotalPopulation,10137603
2034,TotalPopulation,10207020
2035,TotalPopulation,10275354
2036,TotalPopulation,10342512
2037,TotalPopulation,10408343
2038,TotalPopulation,10473036
2039,TotalPopulation,10536700
2040,TotalPopulation,10599472
2041,TotalPopulation,10661262
2042,TotalPopulation,10721784
2043,TotalPopulation,10780977
2044,TotalPopulation,10838721
2045,TotalPopulation,10894938
2046,TotalPopulation,10949548
2047,TotalPopulation,11002522
2048,TotalPopulation,11053824
2049,TotalPopulation,11103460
2050,TotalPopulation,11151459
2011,NewBirth,133440
2012,NewBirth,134037
2013,NewBirth,131011
2014,NewBirth,127807
2015,NewBirth,128520
2016,NewBirth,129847
2017,NewBirth,127359
2018,NewBirth,126503.7
2019,NewBirth,127088.4
2020,NewBirth,127533.3
2021,NewBirth,127885.2
2022,NewBirth,128325
2023,NewBirth,128801.7
2024,NewBirth,129233
2025,NewBirth,129600.5
2026,NewBirth,129961.1
2027,NewBirth,130317.1
2028,NewBirth,130663.6
2029,NewBirth,131047.4
2030,NewBirth,131487.2
2031,NewBirth,131984.9
2032,NewBirth,132549.9
2033,NewBirth,133188.5
2034,NewBirth,133913.5
2035,NewBirth,134718.1
2036,NewBirth,135597.1
2037,NewBirth,136537.7
2038,NewBirth,137604.7
2039,NewBirth,138738.2
2040,NewBirth,140001.5
2041,NewBirth,141135.1
2042,NewBirth,141933.2
2043,NewBirth,142621.7
2044,NewBirth,143183.5
2045,NewBirth,143616.1
2046,NewBirth,143922.1
2047,NewBirth,144115.9
2048,NewBirth,144221.9
2049,NewBirth,144266.7
2050,NewBirth,144274
2011,Death,46929
2012,Death,47570
2013,Death,48078
2014,Death,45449
2015,Death,50150
2016,Death,48513
2017,Death,48836
2018,Death,51458.39
2019,Death,51273.37
2020,Death,51176.88
2021,Death,51135.29
2022,Death,51177.02
2023,Death,51294.32
2024,Death,51485.16
2025,Death,51803.98
2026,Death,52212.18
2027,Death,52673.59
2028,Death,53184.2
2029,Death,53741.82
2030,Death,54315.45
2031,Death,54867.05
2032,Death,55564.37
2033,Death,56356.26
2034,Death,57212.76
2035,Death,58039.1
2036,Death,58936.6
2037,Death,59993.59
2038,Death,60829.99
2039,Death,61583.02
2040,Death,62305.21
2041,Death,63030.82
2042,Death,63769.22
2043,Death,64526.82
2044,Death,65314.31
2045,Death,66125.55
2046,Death,66965.85
2047,Death,67802.24
2048,Death,68651.73
2049,Death,69494.78
2050,Death,70326.45
2011,Male,79053.53
2012,Male,81636.33
2013,Male,80505.33
2014,Male,80164.33
2015,Male,80757.33
2016,Male,82602.33
2017,Male,81524
2018,Male,81441.81
2019,Male,81871.2
2020,Male,82558.95
2021,Male,83162.73
2022,Male,83965.67
2023,Male,84774.93
2024,Male,85657.32
2025,Male,86648.19
2026,Male,87762
2027,Male,88845.46
2028,Male,90072.71
2029,Male,91358.27
2030,Male,92577.4
2031,Male,93277.2
2032,Male,94387.21
2033,Male,95998.47
2034,Male,97943.17
2035,Male,99868.63
2036,Male,102076
2037,Male,105743.5
2038,Male,108543
2039,Male,110895.7
2040,Male,113145.2
2041,Male,115197.9
2042,Male,117068.6
2043,Male,119051.5
2044,Male,121030.8
2045,Male,123225
2046,Male,125642.9
2047,Male,128052.7
2048,Male,130697.6
2049,Male,133462.2
2050,Male,136374
2011,Female,94655.03
2012,Female,98033.81
2013,Female,96881.81
2014,Female,96617.81
2015,Female,97244.81
2016,Female,98428.81
2017,Female,97712
2018,Female,96379.03
2019,Female,96443.54
2020,Female,96860.09
2021,Female,97133.72
2022,Female,97511.34
2023,Female,98006.19
2024,Female,98539
2025,Female,99550.15
2026,Female,100703.1
2027,Female,101929.2
2028,Female,103378.8
2029,Female,104868.1
2030,Female,106238
2031,Female,107054.9
2032,Female,108601
2033,Female,110811.5
2034,Female,113189.7
2035,Female,115591.5
2036,Female,118460.2
2037,Female,123047.3
2038,Female,126628.2
2039,Female,129648.8
2040,Female,132540.7
2041,Female,135037.5
2042,Female,137516.2
2043,Female,140004.7
2044,Female,142647
2045,Female,145257
2046,Female,148126.7
2047,Female,151166.5
2048,Female,154514.8
2049,Female,158033.8
2050,Female,161915.4
