year ,totalPopulation,newBirth,death,male,female,international_In,international_Out,international_Net,domestic_In,domestic_Out,domestic_Net
2011,8217475,133440,46929,79053.53,94655.03,194729,102326,92403,539756.3744,580107.9545,-40351.5801
2012,8322248,134037,47570,81636.33,98033.81,176340,106165,70175,561701.8014,613399.6732,-51697.8718
2013,8430984,131011,48078,80505.33,96881.81,170054,89571,80483,557673.7458,612701.0212,-55027.2754
2014,8553075,127807,45449,80164.33,96617.81,200902,93161,107741,584242.0405,652875.9904,-68633.9499
2015,8680397,128520,50150,80757.33,97244.81,212711,86181,126530,587762.6929,665297.0056,-77534.3127
2016,8782386,129847,48513,82602.33,98428.81,208469,94159,114310,579612.3529,672914.0038,-93301.6509
2017,8838025,127359,48836,81524,97712,190401,106913,83488,645278.0793,751886.0033,-106607.924
2018,8934621,126503.7,51458.39,81441.81,96379.03,193472.4,103415.2157,90057.18435,653292.7193,585185.7885,68106.9308
2019,9029053,127088.4,51273.37,81871.2,96443.54,193472.4,104105.3158,89367.08417,657747.0777,587396.9177,70350.16
2020,9121351,127533.3,51176.88,82558.95,96860.09,193472.4,104731.6541,88740.74591,661532.5036,589133.0995,72399.40412
2021,9211391,127885.2,51135.29,83162.73,97133.72,193472.4,105285.6242,88186.77583,664895.4323,590398.6749,74496.75735
2022,9298979,128325,51177.02,83965.67,97511.34,193472.4,105767.0262,87705.37382,668711.0191,591846.362,76864.65713
2023,9384394,128801.7,51294.32,84774.93,98006.19,193472.4,106224.0366,87248.36339,672457.5449,593516.1556,78941.38929
2024,9467487,129233,51485.16,85657.32,98539,193472.4,106718.0566,86754.34338,676404.9922,595396.1885,81008.80374
2025,9548200,129600.5,51803.98,86648.19,99550.15,193472.4,107285.3045,86187.09553,680675.659,597805.172,82870.48691
2026,9626818,129961.1,52212.18,87762,100703.1,193472.4,107912.858,85559.54204,685114.5247,600824.2942,84290.23046
2027,9703526,130317.1,52673.59,88845.46,101929.2,193472.4,108621.6261,84850.7739,689733.8206,604347.3245,85386.49604
2028,9778660,130663.6,53184.2,90072.71,103378.8,193472.4,109426.4282,84045.97176,694031.4806,608039.7059,85991.77473
2029,9852409,131047.4,53741.82,91358.27,104868.1,193472.4,110268.0901,83204.30992,698472.3221,612111.2758,86361.04633
2030,9924970,131487.2,54315.45,92577.4,106238,193472.4,111136.2379,82336.16206,703131.5588,616585.2864,86546.27238
2031,9996499,131984.9,54867.05,93277.2,107054.9,193472.4,112003.1748,81469.22516,707661.3147,621002.5869,86658.72781
2032,10067341,132549.9,55564.37,94387.21,108601,193472.4,112829.7804,80642.61963,711358.7665,624972.9344,86385.8321
2033,10137603,133188.5,56356.26,95998.47,110811.5,193472.4,113568.6538,79903.7462,714779.1003,628705.5392,86073.5611
2034,10207020,133913.5,57212.76,97943.17,113189.7,193472.4,114187.2787,79285.12127,718379.2972,632209.9261,86169.3711
2035,10275354,134718.1,58039.1,99868.63,115591.5,193472.4,114705.5815,78766.81852,722081.8842,635369.7292,86712.15497
2036,10342512,135597.1,58936.6,102076,118460.2,193472.4,115153.0352,78319.36476,725332.3018,637910.4311,87421.87077
2037,10408343,136537.7,59993.59,105743.5,123047.3,193472.4,115516.9985,77955.40151,728526.741,640258.2161,88268.52488
2038,10473036,137604.7,60829.99,108543,126628.2,193472.4,115810.8712,77661.52882,731843.1624,642500.0062,89343.1562
2039,10536700,138738.2,61583.02,110895.7,129648.8,193472.4,116039.5804,77432.81962,735085.1847,644561.4984,90523.68627
2040,10599472,140001.5,62305.21,113145.2,132540.7,193472.4,116248.8479,77223.55212,738235.2074,646487.696,91747.51135
2041,10661262,141135.1,63030.82,115197.9,135037.5,193472.4,116450.8197,77021.58027,741302.6805,648366.6418,92936.0387
2042,10721784,141933.2,63769.22,117068.6,137516.2,193472.4,116639.1534,76833.24665,744237.2997,650161.6916,94075.60812
2043,10780977,142621.7,64526.82,119051.5,140004.7,193472.4,116830.5567,76641.84328,747027.3015,651884.1989,95143.10257
2044,10838721,143183.5,65314.31,121030.8,142647,193472.4,117030.2472,76442.15282,749671.1771,653503.3813,96167.79584
2045,10894938,143616.1,66125.55,123225,145257,193472.4,117225.6929,76246.70713,752157.766,655037.8098,97119.95615
2046,10949548,143922.1,66965.85,125642.9,148126.7,193472.4,117422.291,76050.10905,754492.7505,656495.9868,97996.76373
2047,11002522,144115.9,67802.24,128052.7,151166.5,193472.4,117612.5978,75859.80224,756683.051,657883.8645,98799.18643
2048,11053824,144221.9,68651.73,130697.6,154514.8,193472.4,117799.5101,75672.88993,758756.3558,659215.2457,99541.11011
2049,11103460,144266.7,69494.78,133462.2,158033.8,193472.4,117984.3508,75488.04916,760738.0468,660513.671,100224.3758
2050,11151459,144274,70326.45,136374,161915.4,193472.4,118167.3357,75305.06426,762652.6393,661799.3468,100853.2925
